,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,published_at,insider_interview,url,employer,snippet,working_days,working_time_intervals,working_time_modes,accept_temporary,professional_roles,accept_incomplete_resumes,lng,lati,Density,published_at_date,OblastiRF,lngi,Count_word
491,78270616,0,Специалист службы заказчика,,0,0,Санкт-Петербург,150000.0,1,"{'city': 'Санкт-Петербург', 'street': 'набережная реки Фонтанки', 'building': '59', 'lat': 59.927757, 'lng': 30.332271, 'description': None, 'raw': 'Санкт-Петербург, набережная реки Фонтанки, 59', 'metro': None, 'metro_stations': [], 'id': '11549047'}",2023-03-20T12:20:18+0300,,https://api.hh.ru/vacancies/78270616?host=hh.ru,Бюро 21,Умение читать и понимать существующие Административные регламенты по согласованию проектно-сметной документации. Навыки составления сопроводительной документации для истребования исходных материалов...,,,,0,Инженер по эксплуатации,0,30.332271,59.927757,4848742.0,2023-03-20,Санкт-Петербург,30.332271,19
492,78287613,0,Секретарь руководителя,,0,0,Щелково,,1,"{'city': 'Щёлково', 'street': 'Московская улица', 'building': '77Б', 'lat': 55.898735, 'lng': 37.999644, 'description': None, 'raw': 'Щёлково, Московская улица, 77Б', 'metro': None, 'metro_stations': [], 'id': '12641859'}",2023-03-20T14:53:55+0300,,https://api.hh.ru/vacancies/78287613?host=hh.ru,Газпром космические системы,Высшее образование. Стаж работы по специальности 3 года. Владение иностранным языком не требуется.,,,,0,"Секретарь, помощник руководителя, ассистент",1,37.999644,55.898735,,2023-03-20,Щелково,37.999644,13
493,78372461,0,Администратор медицинского центра / медицинский регистратор,,0,0,Тамбов,29000.0,1,0,2023-03-21T17:22:33+0300,,https://api.hh.ru/vacancies/78372461?host=hh.ru,МедЛаб,Высшее или среднее специальное образование. Медицинское образование приветствуется. Готовность обучаться и не бояться интенсивной работы. Знание основных услуг медицинского учреждения. ,,,,0,Администратор,0,,,280457.0,2023-03-21,Тамбовская область,0.0,20
494,77066323,0,Регистратор заявок (из дома),,0,0,Новокузнецк,37000.0,1,0,2023-03-13T11:55:05+0300,,https://api.hh.ru/vacancies/77066323?host=hh.ru,ВРК Триумф,"Желание работать в удаленном формате. Возможно рассмотрение кандидатов без опыта работы (Предусмотрено обучение). Наличие ПК (ноутбук), гарнитура (наушники) , доступ в...",,,,0,Администратор,1,,,547885.0,2023-03-13,Кемеровская область,0.0,21
495,78173353,0,Frontend-разработчик,,0,0,Санкт-Петербург,70000.0,1,"{'city': 'Санкт-Петербург', 'street': '1 линия', 'building': 'метро Площадь Восстания', 'lat': 59.931522, 'lng': 30.360568, 'description': None, 'raw': 'Санкт-Петербург, 1 линия, метро Площадь Восстания', 'metro': {'station_name': 'Площадь Восстания', 'line_name': 'Кировско-Выборгская', 'station_id': '14.199', 'line_id': '14', 'lat': 59.930279, 'lng': 30.361069}, 'metro_stations': [{'station_name': 'Площадь Восстания', 'line_name': 'Кировско-Выборгская', 'station_id': '14.199', 'line_id': '14', 'lat': 59.930279, 'lng': 30.361069}], 'id': '6579488'}",2023-03-20T11:11:17+0300,,https://api.hh.ru/vacancies/78173353?host=hh.ru,НК Росинновации,"Опыт работы с Redux и другими модулями экосистемы React (redux-forms, reselect, redux-thunk и др.). Знание системы контроля версий...",,,,0,"Программист, разработчик",0,30.360568,59.931522,4848742.0,2023-03-20,Санкт-Петербург,30.360568,18
496,78223374,0,HR Director/HRD Группы компаний,,0,0,Москва,350000.0,1,0,2023-03-18T10:34:13+0300,,https://api.hh.ru/vacancies/78223374?host=hh.ru,Волчанская Анастасия Александровна,Опыт работы в должности HRD компаний 10+ млрд. Имеете опыт руководства коллективом более 20 человек. Опыт работы в розничных...,,,,0,Директор по персоналу (HRD),0,,,11514330.0,2023-03-18,Москва,0.0,19
497,78278841,0,Заместитель руководителя отдела трудовых отношений и кадрового администрирования,,0,0,Москва,,1,"{'city': 'Москва', 'street': 'Боровая улица', 'building': '3к1', 'lat': 55.771702, 'lng': 37.715084, 'description': None, 'raw': 'Москва, Боровая улица, 3к1', 'metro': None, 'metro_stations': [], 'id': '694632'}",2023-03-20T13:39:32+0300,,https://api.hh.ru/vacancies/78278841?host=hh.ru,RT,Высшее образование. Экспертное знание трудового законодательства. Релевантный опыт работы от 5-ти лет (опыт руководящей работы обязателен). Знание КПД в...,,,,0,Специалист по кадрам,0,37.715084,55.771702,11514330.0,2023-03-20,Москва,37.715084,19
498,78330814,0,Управляющий подразделением в г.Новомосковск,,0,0,Новомосковск (Тульская область),45000.0,1,"{'city': 'Новомосковск', 'street': 'улица Маяковского', 'building': '22А', 'lat': 54.004368, 'lng': 38.299519, 'description': None, 'raw': 'Новомосковск, улица Маяковского, 22А', 'metro': None, 'metro_stations': [], 'id': '12956516'}",2023-03-21T09:32:56+0300,,https://api.hh.ru/vacancies/78330814?host=hh.ru,Лье,Высшее образование. Опыт руководящей работы. Приветствуется знание учетной программы 1С или схожих.,,,,0,Руководитель филиала,0,38.299519,54.004368,,2023-03-21,Новомосковск (Тульская область),38.299519,12
499,78374807,0,QA Engineer,,0,0,Москва,,1,0,2023-03-21T18:26:19+0300,,https://api.hh.ru/vacancies/78374807?host=hh.ru,Clear Mind,Опыт ручного тестирования от 2 лет. Опыт тестирования мобильных приложений (iOS/Android). Желание развиваться в автоматизации. Системное мышление - понимание как...,,,,0,Тестировщик,0,,,11514330.0,2023-03-21,Москва,0.0,20
500,78247936,0,"Водитель категории В, С",,0,0,Нижний Новгород,50000.0,1,"{'city': 'Нижний Новгород', 'street': 'Салганская улица', 'building': '34', 'lat': 56.302857, 'lng': 44.013335, 'description': None, 'raw': 'Нижний Новгород, Салганская улица, 34', 'metro': {'station_name': 'Горьковская', 'line_name': 'Автозаводская', 'station_id': '50.278', 'line_id': '50', 'lat': 56.313933, 'lng': 43.99482}, 'metro_stations': [{'station_name': 'Горьковская', 'line_name': 'Автозаводская', 'station_id': '50.278', 'line_id': '50', 'lat': 56.313933, 'lng': 43.99482}], 'id': '453962'}",2023-03-20T07:55:34+0300,,https://api.hh.ru/vacancies/78247936?host=hh.ru,Газпром трансгаз Нижний Новгород,Знание ПДД. Прохождение мед.осмотра. Опыт вождения от 3-лет.,,,,0,Водитель,1,44.013335,56.302857,1250615.0,2023-03-20,Нижегородская область,44.013335,8
